"@EMP_BASIC_LOCAL/employees01.csv.gz","1","Lem","Boissier","lboissier@sf_tuts.com","3002 Ruskin Trail","Shikārpur","2017-08-25"
"@EMP_BASIC_LOCAL/employees01.csv.gz","2","Iain","Hanks","ihanks1@sf_tuts.com","2 Pankratz Hill","Monte-Carlo","2017-12-10"
"@EMP_BASIC_LOCAL/employees01.csv.gz","3","Avo","Laudham","alaudham2@sf_tuts.com","6948 Debs Park","Prażmów","2017-10-18"
"@EMP_BASIC_LOCAL/employees01.csv.gz","4","Emili","Cornner","ecornner3@sf_tuts.com","177 Magdeline Avenue","Norrköping","2017-08-13"
"@EMP_BASIC_LOCAL/employees01.csv.gz","5","Harrietta","Goolding","hgoolding4@sf_tuts.com","450 Heath Trail","Osielsko","2017-11-27"
"@EMP_BASIC_LOCAL/employees05.csv.gz","1","Arlene","Davidovits","adavidovitsk@sf_tuts.com","7571 New Castle Circle","Meniko","2017-05-03"
"@EMP_BASIC_LOCAL/employees05.csv.gz","2","Violette","Shermore","vshermorel@sf_tuts.com","899 Merchant Center","Troitsk","2017-01-19"
"@EMP_BASIC_LOCAL/employees05.csv.gz","3","Ron","Mattys","rmattysm@sf_tuts.com","423 Lien Pass","Bayaguana","2017-11-15"
"@EMP_BASIC_LOCAL/employees05.csv.gz","4","Shurlocke","Oluwatoyin","soluwatoyinn@sf_tuts.com","40637 Portage Avenue","Semënovskoye","2017-09-12"
"@EMP_BASIC_LOCAL/employees05.csv.gz","5","Granger","Bassford","gbassfordo@sf_tuts.co.uk","6 American Ash Circle","Kardítsa","2016-12-30"
"@EMP_BASIC_LOCAL/employees02.csv.gz","1","Nyssa","Dorgan","ndorgan5@sf_tuts.com","7 Tomscot Way","Pampas Chico","2017-04-13"
"@EMP_BASIC_LOCAL/employees02.csv.gz","2","Catherin","Devereu","cdevereu6@sf_tuts.co.au","535 Basil Terrace","Magapit","2016-12-17"
"@EMP_BASIC_LOCAL/employees02.csv.gz","3","Grazia","Glaserman","gglaserman7@sf_tuts.com","162 Debra Lane","Shiquanhe","2017-06-06"
"@EMP_BASIC_LOCAL/employees02.csv.gz","4","Ivett","Casemore","icasemore8@sf_tuts.com","84 Holmberg Pass","Campina Grande","2017-03-29"
"@EMP_BASIC_LOCAL/employees02.csv.gz","5","Cesar","Hovie","chovie9@sf_tuts.com","5 7th Pass","Miami","2016-12-21"
"@EMP_BASIC_LOCAL/employees04.csv.gz","1","Wallis","Sizey","wsizeyf@sf_tuts.com","36761 American Lane","Taibao","2016-12-30"
"@EMP_BASIC_LOCAL/employees04.csv.gz","2","Di","McGowran","dmcgowrang@sf_tuts.com","1856 Maple Lane","Banjar Bengkelgede","2017-04-22"
"@EMP_BASIC_LOCAL/employees04.csv.gz","3","Carson","Bedder","cbedderh@sf_tuts.co.au","71 Clyde Gallagher Place","Leninskoye","2017-03-29"
"@EMP_BASIC_LOCAL/employees04.csv.gz","4","Dana","Avory","davoryi@sf_tuts.com","2 Holy Cross Pass","Wenlin","2017-05-11"
"@EMP_BASIC_LOCAL/employees04.csv.gz","5","Ronny","Talmadge","rtalmadgej@sf_tuts.co.uk","588 Chinook Street","Yawata","2017-06-02"
"@EMP_BASIC_LOCAL/employees03.csv.gz","1","Althea","Featherstone","afeatherstona@sf_tuts.com","8172 Browning Street, Apt B","Calatrava","2017-07-12"
"@EMP_BASIC_LOCAL/employees03.csv.gz","2","Hollis","Anneslie","hanneslieb@sf_tuts.com","3248 Roth Park","Aleysk","2017-11-16"
"@EMP_BASIC_LOCAL/employees03.csv.gz","3","Betti","Cicco","bciccoc@sf_tuts.com","121 Victoria Junction","Sinegor'ye","2017-06-22"
"@EMP_BASIC_LOCAL/employees03.csv.gz","4","Brendon","Durnall","bdurnalld@sf_tuts.com","26814 Weeping Birch Place","Sabadell","2017-11-14"
"@EMP_BASIC_LOCAL/employees03.csv.gz","5","Kylila","MacConnal","kmacconnale@sf_tuts.com","04 Valley Edge Court","Qingshu","2017-06-22"
